timestamp,modelName,count
2026-01-26 00:00:00,iPhone 16 Pro Max,113271
2026-01-26 00:00:00,iPhone 15 Pro,111786
2026-01-26 00:00:00,iPhone 15 Pro Max,108522
2026-01-26 00:00:00,iPhone 16,107499
2026-01-26 00:00:00,iPhone 11,88829
2026-01-26 00:00:00,iPhone 14 Pro,83809
2026-02-02 00:00:00,iPhone 13,171572
2026-02-02 00:00:00,iPhone 15,134566
2026-02-02 00:00:00,iPhone 16 Pro,128144
2026-02-02 00:00:00,iPhone 14,111880
2026-02-02 00:00:00,iPhone 16 Pro Max,107003
2026-02-02 00:00:00,iPhone 15 Pro,105807
2026-02-02 00:00:00,iPhone 16,100721
2026-02-02 00:00:00,iPhone 15 Pro Max,99920
2026-02-02 00:00:00,iPhone 11,82642
2026-02-02 00:00:00,iPhone 14 Pro,79051
2026-02-09 00:00:00,iPhone 13,151947
2026-02-09 00:00:00,iPhone 15,117836
2026-02-09 00:00:00,iPhone 16 Pro,116066
2026-02-09 00:00:00,iPhone 14,98427
2026-02-09 00:00:00,iPhone 15 Pro,95706
2026-02-09 00:00:00,iPhone 16 Pro Max,94162
2026-02-09 00:00:00,iPhone 15 Pro Max,90649
2026-02-09 00:00:00,iPhone 16,89513
2026-02-09 00:00:00,iPhone 11,73263
2026-02-09 00:00:00,iPhone 17 Pro,70427
2026-02-16 00:00:00,iPhone 13,144909
2026-02-16 00:00:00,iPhone 15,113444
2026-02-16 00:00:00,iPhone 16 Pro,112830
2026-02-16 00:00:00,iPhone 14,94283
2026-02-16 00:00:00,iPhone 15 Pro,93048
2026-02-16 00:00:00,iPhone 16 Pro Max,91741
2026-02-16 00:00:00,iPhone 15 Pro Max,88083
2026-02-16 00:00:00,iPhone 16,86316
2026-02-16 00:00:00,iPhone 11,71282
2026-02-16 00:00:00,iPhone 17 Pro Max,71083
2026-02-23 00:00:00,iPhone 13,144735
2026-02-23 00:00:00,iPhone 15,115408
2026-02-23 00:00:00,iPhone 16 Pro,114372
2026-02-23 00:00:00,iPhone 16 Pro Max,96540
2026-02-23 00:00:00,iPhone 14,95652
2026-02-23 00:00:00,iPhone 15 Pro,94891
2026-02-23 00:00:00,iPhone 15 Pro Max,91860
2026-02-23 00:00:00,iPhone 16,87615
2026-02-23 00:00:00,iPhone 17 Pro,75222
2026-02-23 00:00:00,iPhone 17 Pro Max,74925
2026-03-02 00:00:00,iPhone 13,141542
2026-03-02 00:00:00,iPhone 15,112643
2026-03-02 00:00:00,iPhone 16 Pro,112288
2026-03-02 00:00:00,iPhone 14,94511
2026-03-02 00:00:00,iPhone 15 Pro,93333
2026-03-02 00:00:00,iPhone 16 Pro Max,91704
2026-03-02 00:00:00,iPhone 16,87467
2026-03-02 00:00:00,iPhone 15 Pro Max,87386
2026-03-02 00:00:00,iPhone 17 Pro Max,74453
2026-03-02 00:00:00,iPhone 17 Pro,74038
2026-03-09 00:00:00,iPhone 13,139594
2026-03-09 00:00:00,iPhone 15,112257
2026-03-09 00:00:00,iPhone 16 Pro,111478
2026-03-09 00:00:00,iPhone 14,92631
2026-03-09 00:00:00,iPhone 15 Pro,91799
2026-03-09 00:00:00,iPhone 16 Pro Max,90746
2026-03-09 00:00:00,iPhone 16,87074
2026-03-09 00:00:00,iPhone 15 Pro Max,85960
2026-03-09 00:00:00,iPhone 17 Pro,75213
2026-03-09 00:00:00,iPhone 17 Pro Max,74424
2026-03-16 00:00:00,iPhone 13,140112
2026-03-16 00:00:00,iPhone 15,115352
2026-03-16 00:00:00,iPhone 16 Pro,111593
2026-03-16 00:00:00,iPhone 14,93393
2026-03-16 00:00:00,iPhone 15 Pro,92891
2026-03-16 00:00:00,iPhone 16 Pro Max,90144
2026-03-16 00:00:00,iPhone 16,87040
2026-03-16 00:00:00,iPhone 15 Pro Max,86599
2026-03-16 00:00:00,iPhone 17 Pro,77612
2026-03-16 00:00:00,iPhone 17 Pro Max,76719
2026-03-23 00:00:00,iPhone 13,139036
2026-03-23 00:00:00,iPhone 15,114487
2026-03-23 00:00:00,iPhone 16 Pro,113385
2026-03-23 00:00:00,iPhone 15 Pro,92784
2026-03-23 00:00:00,iPhone 14,92532
2026-03-23 00:00:00,iPhone 16 Pro Max,91286
2026-03-23 00:00:00,iPhone 15 Pro Max,87441
